unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1552867200,3506.2,854.72634809,2999764.6857836256,6.45,4.65,0.84,3517.0,3490.0
1552953600,3509.62,1262.41010073,4449137.166204754,17.04,3.84,0.87,3528.0,3471.0
1553040000,3524.82,1011.19290143,3571179.4103352595,20.16,2.96,1.0,3516.0,3530.0
1553126400,3529.7,1009.33374952,3535120.8043313334,21.91,2.31,1.15,3513.0,3574.0
1553212800,3501.35,1083.85300341,3820787.769090898,17.57,3.0,1.52,3528.0,3611.0
1553299200,3531.43,492.6124227,1736458.7900175,6.59,3.49,1.76,3522.0,3649.0
1553385600,3525.0,269.56573274,948599.1178547324,1.14,4.47,2.1,3490.0,3653.0
1553472000,3518.67,1411.56549253,4887234.9734767685,2.73,5.14,2.42,3471.0,3672.0
1553558400,3463.02,870.85233282,3029198.8800510727,1.04,6.01,2.79,3530.0,4040.0
1553644800,3478.43,1842.9151179,6600769.07778243,-6.56,7.54,2.95,3574.0,4403.0
1553731200,3575.01,1050.29596394,3752707.47915762,-8.69,6.96,3.15,3611.0,4404.0
1553817600,3573.0,1322.30598115,4826337.492838631,1.89,7.38,3.26,3649.0,4434.0
1553904000,3649.95,572.33938248,2088351.9387930245,6.59,7.5,3.55,3653.0,4494.0
1553990400,3654.49,414.2562388,1512573.80473044,21.27,8.01,3.79,3672.0,4572.0
1554076800,3651.3,1479.42010179,5463764.731528792,31.28,8.42,4.11,4040.0,4674.0
1554163200,3699.51,5410.19207875,23700590.74514249,35.42,8.78,4.31,4403.0,4660.0
1554249600,4380.58,4759.45740531,21065358.47590206,32.05,9.38,4.62,4404.0,4670.0
1554336000,4435.74,2139.44482381,9353652.76969732,95.4,14.02,5.5,4434.0,4604.0
1554422400,4380.18,1533.57402089,6882848.898896617,146.23,18.11,6.32,4494.0,4490.0
1554508800,4498.91,1410.75616906,6332842.120225268,160.09,22.24,7.11,4572.0,4502.0
1554595200,4505.55,1103.48552057,5118793.458544088,168.83,26.73,7.96,4674.0,4534.0
1554681600,4639.13,2636.53597513,12414393.29249712,148.61,31.07,8.94,4660.0,4517.0
